signal_date,ticker,score,ref_price,rank,tp,sl
2026-04-06,3533,3.92,2045.0,1,2594.0,1633.2
2026-04-06,2605,3.82,41.3,2,52.8,32.7
2026-04-06,2383,3.8,2785.0,3,3572.0,2194.8
2026-04-06,2368,3.78,905.0,4,1166.4,709.0
2026-04-06,3037,3.76,519.0,5,690.0,390.8
2026-04-16,6285,3.98,267.0,1,329.5,220.1
2026-04-16,2383,3.9,3835.0,2,4664.0,3213.2
2026-04-16,3443,3.78,3345.0,3,4060.0,2808.8
2026-04-16,2345,3.78,2035.0,4,2473.0,1706.5
2026-04-16,2360,3.77,2050.0,5,2599.0,1638.2
2026-04-16,3533,3.67,2510.0,6,3098.0,2069.0
2026-04-16,3711,3.55,450.5,7,533.8,388.0
2026-04-17,6285,3.97,264.5,1,328.4,216.6
2026-04-17,2360,3.95,2255.0,2,2826.0,1826.8
2026-04-17,2383,3.88,3800.0,3,4641.0,3169.2
2026-04-17,3533,3.77,2490.0,4,3061.0,2061.8
2026-04-17,3017,3.67,2400.0,5,2946.0,1990.5
2026-04-17,2345,3.63,2070.0,6,2497.0,1749.8
2026-04-17,3443,3.58,3255.0,7,3951.0,2733.0
2026-04-20,6285,3.92,251.5,1,317.2,202.2
2026-04-20,2383,3.9,3850.0,2,4668.0,3236.5
2026-04-20,3443,3.85,3580.0,3,4302.0,3038.5
2026-04-20,3711,3.67,461.5,4,548.5,396.2
2026-04-20,6415,3.63,365.5,5,437.8,311.3
2026-04-20,3533,3.6,2625.0,6,3216.0,2181.8
2026-04-20,2360,3.57,2050.0,7,2638.0,1609.0
2026-04-21,2383,3.9,3950.0,1,4761.0,3341.8
2026-04-21,3443,3.87,3735.0,2,4482.0,3174.8
2026-04-21,6285,3.83,249.5,3,316.8,199.0
2026-04-21,6415,3.73,394.0,4,469.1,337.7
2026-04-21,2345,3.67,2190.0,5,2641.0,1851.8
2026-04-21,2308,3.65,2015.0,6,2376.0,1744.2
2026-04-21,3711,3.62,472.0,7,559.7,406.2
2026-04-22,6415,3.93,402.5,1,480.9,343.7
2026-04-22,2383,3.9,4065.0,2,4902.0,3437.2
2026-04-22,3037,3.83,716.0,3,876.9,595.3
2026-04-22,6285,3.77,241.5,4,309.2,190.7
2026-04-22,2308,3.67,2015.0,5,2368.0,1750.2
2026-04-22,3443,3.6,3675.0,6,4413.0,3121.5
2026-04-22,2345,3.57,2200.0,7,2660.0,1855.0
2026-04-23,3037,3.98,728.0,1,894.6,603.0
2026-04-23,3443,3.92,3910.0,2,4675.0,3336.2
2026-04-23,2383,3.9,4100.0,3,4990.0,3432.5
2026-04-23,6415,3.8,415.5,4,498.4,353.3
2026-04-23,2368,3.73,1265.0,5,1545.4,1054.7
2026-04-23,2308,3.65,1980.0,6,2357.0,1697.2
2026-04-23,3017,3.57,2680.0,7,3277.0,2232.2
2026-04-24,2383,3.95,4475.0,1,5396.0,3784.2
2026-04-24,3443,3.92,4035.0,2,4846.0,3426.8
2026-04-24,3037,3.88,790.0,3,959.8,662.6
2026-04-24,2368,3.82,1390.0,4,1683.0,1170.2
2026-04-24,6415,3.68,436.0,5,519.6,373.3
2026-04-24,2454,3.67,2435.0,6,2841.0,2130.5
2026-04-24,3017,3.6,2945.0,7,3564.0,2480.8
2026-04-27,3037,3.98,839.0,1,1011.0,710.0
2026-04-27,2383,3.95,4730.0,2,5678.0,4019.0
2026-04-27,3443,3.85,3955.0,3,4826.0,3301.8
2026-04-27,2368,3.82,1420.0,4,1723.0,1192.8
2026-04-27,6415,3.67,420.0,5,505.8,355.6
2026-04-27,2454,3.65,2435.0,6,2864.0,2113.2
2026-04-27,6669,3.5,4890.0,7,5663.0,4310.2
2026-04-29,3443,3.97,4120.0,1,5028.0,3439.0
2026-04-29,3037,3.88,803.0,2,985.1,666.4
2026-04-29,2454,3.85,2575.0,3,3050.0,2218.8
2026-04-29,2383,3.85,4440.0,4,5464.0,3672.0
2026-04-29,2368,3.75,1360.0,5,1673.2,1125.1
2026-04-29,2308,3.68,2165.0,6,2570.0,1861.2
2026-04-29,3661,3.48,4005.0,7,4850.0,3371.2
2026-04-30,3037,4.0,883.0,1,1071.3,741.8
2026-04-30,3443,3.92,4260.0,2,5190.0,3562.5
2026-04-30,2383,3.83,4545.0,3,5566.0,3779.2
2026-04-30,2454,3.82,2610.0,4,3099.0,2243.2
2026-04-30,2368,3.7,1390.0,5,1709.2,1150.6
2026-04-30,2308,3.6,2165.0,6,2572.0,1859.8
